1209,1686,16
1201,2184,16
1141,1341,16
1827,1906,15
1816,2188,15
1692,1704,15
1632,1683,15
1522,1995,15
1305,1566,15
1289,1598,15
1808,2049,14
1632,2075,14
1307,1808,14
1281,2184,14
1279,1525,14
1116,1808,14
2179,2184,13
1808,2124,13
1569,1885,13
1492,2193,13
1474,1569,13
1415,2171,13
1361,1965,13
1294,1808,13
1265,1798,13
1246,1752,13
1228,1750,13
1228,1577,13
1227,2184,13
1209,1485,13
1329,1827,12
1276,1808,12
1246,1755,12
1246,1470,12
1228,1901,12
1228,1708,12
1221,1444,12
1214,1444,12
1209,2027,12
1209,1761,12
1141,1538,12
2026,2042,11
1827,2210,11
1827,1961,11
1808,1873,11
1641,1831,11
1632,1727,11
1492,1602,11
1388,1808,11
1359,1571,11
1318,1995,11
1316,1571,11
1311,1965,11
1305,1398,11
1279,1429,11
1246,2226,11
1246,1536,11
1154,1221,11
1153,1827,11
1995,2016,10
1808,2160,10
1773,2096,10
1773,1918,10
1639,2184,10
1521,1692,10
1517,1569,10
1354,1571,10
1305,1815,10
1290,1808,10
1246,1275,10
1228,1955,10
1228,1700,10
1209,1481,10
1207,1801,10
1206,1209,10
1165,1469,10
1140,2180,10
1118,1827,10
2005,2188,9
1792,1808,9
1790,1929,9
1773,2221,9
1771,2019,9
1643,1878,9
1528,1911,9
1411,1808,9
1269,2184,9
1246,2072,9
1246,1685,9
1228,1823,9
1209,2083,9
1209,1669,9
1207,2058,9
1207,1383,9
1130,1290,9
1125,1141,9
2128,2184,8
2085,2184,8
2028,2184,8
1827,2007,8
1808,2220,8
1576,2126,8
1561,1808,8
1543,2210,8
1450,2214,8
1390,1844,8
1279,1451,8
1246,1804,8
1228,1891,8
1228,1637,8
1228,1435,8
1209,1905,8
1209,1851,8
1191,1492,8
1188,1267,8
1140,1459,8
1986,2068,7
1943,2098,7
1898,2184,7
1844,1936,7
1827,1858,7
1808,2178,7
1618,1773,7
1584,2013,7
1574,2184,7
1512,2184,7
1355,1916,7
1289,1966,7
1257,2015,7
1252,1456,7
1246,1838,7
1228,2206,7
1228,2014,7
1228,1709,7
1228,1423,7
1209,1751,7
1209,1691,7
1209,1243,7
1147,2184,7
1141,1687,7
1140,1652,7
1130,1324,7
1123,1141,7
1808,1879,6
1798,1913,6
1773,2093,6
1695,1736,6
1638,1692,6
1583,1632,6
1571,2076,6
1557,2184,6
1549,1943,6
1494,1571,6
1463,1700,6
1409,1692,6
1406,1773,6
